"isocode"	"year"	"month"	"ged_best_ns"	"ged_best_os"	"ged_best_sb"	"best"
"THA"	2004	4	0	5	99	104
"THA"	2004	5	0	1	4	5
"THA"	2004	6	0	2	10	12
"THA"	2004	7	0	6	5	11
"THA"	2004	8	0	3	4	7
"THA"	2004	9	0	1	1	2
"THA"	2004	10	0	13	10	23
"THA"	2004	11	0	19	7	26
"THA"	2004	12	0	3	4	7
"THA"	2005	1	0	14	11	25
"THA"	2005	2	0	15	14	29
"THA"	2005	3	0	12	22	34
"THA"	2005	4	0	10	12	22
"THA"	2005	5	0	15	15	30
"THA"	2005	6	0	32	22	54
"THA"	2005	7	0	34	21	55
"THA"	2005	8	0	30	20	50
"THA"	2005	9	0	33	15	48
"THA"	2005	10	0	25	32	57
"THA"	2005	11	0	49	19	68
"THA"	2005	12	0	17	5	22
"THA"	2006	1	0	24	21	45
"THA"	2006	2	0	14	20	34
"THA"	2006	3	0	32	18	50
"THA"	2006	4	0	12	9	21
"THA"	2006	5	0	20	19	39
"THA"	2006	6	0	20	19	39
"THA"	2006	7	0	19	14	33
"THA"	2006	8	0	29	19	48
"THA"	2006	9	0	15	7	22
"THA"	2006	10	0	38	23	61
"THA"	2006	11	0	58	28	86
"THA"	2006	12	0	48	15	63
"THA"	2007	1	0	48	13	61
"THA"	2007	2	0	41	9	50
"THA"	2007	3	0	68	17	85
"THA"	2007	4	0	31	16	47
"THA"	2007	5	0	21	26	47
"THA"	2007	6	0	24	25	49
"THA"	2007	7	0	13	9	22
"THA"	2007	8	0	18	27	45
"THA"	2007	9	0	17	16	33
"THA"	2007	10	0	14	12	26
"THA"	2007	11	0	15	15	30
"THA"	2007	12	0	10	13	23
"THA"	2008	1	0	5	13	18
"THA"	2008	2	0	6	21	27
"THA"	2008	3	0	3	13	16
"THA"	2008	4	0	8	10	18
"THA"	2008	5	0	10	13	23
"THA"	2008	6	0	32	15	47
"THA"	2008	7	0	25	12	37
"THA"	2008	8	0	14	7	21
"THA"	2008	9	0	27	12	39
"THA"	2008	10	0	14	6	20
"THA"	2008	11	0	18	6	24
"THA"	2008	12	0	18	20	38
"THA"	2009	1	0	10	4	14
"THA"	2009	2	0	9	14	23
"THA"	2009	3	0	8	11	19
"THA"	2009	4	0	8	8	16
"THA"	2009	5	0	1	2	3
"THA"	2009	6	0	27	21	48
"THA"	2009	7	0	11	12	23
"THA"	2009	8	0	10	22	32
"THA"	2009	9	0	5	16	21
"THA"	2009	10	0	13	5	18
"THA"	2009	11	0	6	9	15
"THA"	2009	12	0	12	14	26
"THA"	2010	1	0	8	5	13
"THA"	2010	2	0	8	8	16
"THA"	2010	3	0	6	2	8
"THA"	2010	4	0	7	7	14
"THA"	2010	5	0	14	4	18
"THA"	2010	6	0	6	1	7
"THA"	2010	7	0	9	13	22
"THA"	2010	8	0	17	4	21
"THA"	2010	9	0	21	5	26
"THA"	2010	10	0	23	11	34
"THA"	2010	11	0	10	12	22
"THA"	2010	12	0	7	10	17
"THA"	2011	1	0	14	17	31
"THA"	2011	2	0	15	13	28
"THA"	2011	3	0	15	15	30
"THA"	2011	4	0	1	27	28
"THA"	2011	5	0	12	18	30
"THA"	2011	6	0	6	13	19
"THA"	2011	7	0	7	3	10
"THA"	2011	8	0	8	16	24
"THA"	2011	9	0	8	13	21
"THA"	2011	10	0	18	9	27
"THA"	2011	11	0	7	5	12
"THA"	2011	12	0	4	13	17
"THA"	2012	1	0	15	19	34
"THA"	2012	2	0	7	8	15
"THA"	2012	3	0	34	23	57
"THA"	2012	4	0	5	7	12
"THA"	2012	5	0	0	7	7
"THA"	2012	6	0	3	7	10
